name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Rental unit in Albany · ★4.90 · 1 bedroom · 1 bed · 1 bath,Marlene,SECOND WARD,42.64684,-73.75614,Entire home/apt,125,1,77,20/08/2023,2.75,1,173,13
Rental unit in Albany · ★4.63 · 1 bedroom · 1 bed · 1 bath,Jerry,SIXTH WARD,42.65442,-73.7611,Entire home/apt,88,2,51,08/10/2023,1.81,6,0,12
Home in Albany · ★4.48 · 1 bedroom · 1 bed · 1 shared bath,Luke,FIFTEENTH WARD,42.67643,-73.82903,Private room,40,2,21,12/11/2023,0.82,1,344,8
Townhouse in Albany · ★4.92 · 2 bedrooms · 2 beds · 1 bath,Allen,FIRST WARD,42.63066,-73.77357,Entire home/apt,99,3,48,17/12/2023,1.73,8,168,18
Home in Albany · ★4.74 · 3 bedrooms · 3 beds · 1 bath,Iris,TWELFTH WARD,42.68553,-73.79716,Entire home/apt,97,1,41,30/12/2023,1.55,3,0,27
Guest suite in Albany · ★4.92 · Studio · 1 bed · 1 bath,Jason,SIXTH WARD,42.65641,-73.76413,Entire home/apt,93,1,192,12/12/2023,7.09,1,0,78
Townhouse in Albany · ★4.25 · 1 bedroom · 2 beds · 1.5 shared baths,Clyde,SIXTH WARD,42.65934,-73.76966,Private room,100,2,4,16/08/2022,0.18,4,364,0
Home in Albany · ★4.94 · 3 bedrooms · 3 beds · 1 bath,Iris,FIFTEENTH WARD,42.67044,-73.82573,Entire home/apt,94,1,77,03/01/2024,2.82,3,358,37
Rental unit in Albany · ★4.80 · 1 bedroom · 1 bed · 1 bath,Jerry,SIXTH WARD,42.65386,-73.75958,Entire home/apt,88,2,63,27/10/2023,2.27,6,0,9
Rental unit in Albany · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,Diana,SECOND WARD,42.64186,-73.75868,Entire home/apt,135,1,51,03/12/2023,1.87,19,90,17
Home in Albany · ★4.95 · 3 bedrooms · 3 beds · 1 bath,Diana,NINTH WARD,42.65674,-73.79221,Entire home/apt,185,2,95,21/12/2023,3.51,19,90,40
Rental unit in Albany · ★5.0 · 1 bedroom · 2 beds · 1 bath,Chris,THIRD WARD,42.65069,-73.75193,Entire home/apt,65,30,20,27/03/2022,0.74,1,154,0
Rental unit in Albany · ★4.87 · 2 bedrooms · 2 beds · 1 bath,Diana,THIRTEENTH WARD,42.67181,-73.79543,Entire home/apt,125,2,68,08/12/2023,2.49,19,90,27
